"Microsoft Corporation"
"Date","High","Low","Close","Volume"
"30 Jan 91", 96.500, 91.500, 96.250,2010000
"31 Jan 91", 99.500, 96.000, 98.125,1530000
"01 Feb 91",101.000, 97.250, 99.750,1620000
"04 Feb 91",100.750, 98.000, 99.125,1220000
"05 Feb 91",102.000, 98.000,101.250,1230000
"06 Feb 91",106.500,100.500,105.750,1460000
"07 Feb 91",109.000,102.250,103.000,1830000
"08 Feb 91",104.750,101.750,104.000,1030000
"11 Feb 91",104.500,102.250,104.250,2110000
"12 Feb 91",104.750,102.500,103.250,1340000
"13 Feb 91",105.625,101.750,105.500,1320000
"14 Feb 91",105.500, 99.000,100.750,1850000
"15 Feb 91",104.250,101.250,103.250,1600000
"19 Feb 91",103.500,101.500,102.500, 924000
"20 Feb 91",104.000,101.500,102.750, 780000
"21 Feb 91",103.500,100.000,100.000, 945000
"22 Feb 91",104.500, 99.750,102.250,1440000
"25 Feb 91",104.000,101.500,103.000,1230000
"26 Feb 91",102.500,100.500,102.250, 771000
"27 Feb 91",105.750,101.250,105.250,1190000
"28 Feb 91",106.250,103.250,103.750, 763000
"01 Mar 91",106.250,102.000,105.750,1070000
"04 Mar 91",107.500,104.500,107.000, 652000
"05 Mar 91",112.500,107.000,111.500,1040000
"06 Mar 91",113.000,106.750,107.250,1400000
"07 Mar 91",107.500,103.500,104.000,2300000
"08 Mar 91",106.000,101.750,102.500,1870000
"11 Mar 91",102.500, 97.750, 99.250,2230000
"12 Mar 91", 98.875, 95.625, 95.750,2120000
"13 Mar 91",101.125, 96.000,100.500,1870000
"14 Mar 91",101.500, 97.000, 98.000,1380000
"15 Mar 91", 98.750, 96.250, 96.625,1070000
"18 Mar 91", 99.750, 96.000, 99.250, 919000
"19 Mar 91",101.000, 96.750, 99.000,1370000
"20 Mar 91",101.000, 98.750, 99.000,1160000
"21 Mar 91",100.750, 94.000, 94.750,1650000
"22 Mar 91", 95.500, 93.000, 93.750,1330000
"25 Mar 91", 98.750, 94.000, 98.250, 822000
"26 Mar 91",105.250, 98.750,105.125,1230000
"27 Mar 91",109.250,105.000,107.750,1270000
"28 Mar 91",108.250,106.000,106.125, 424000
"01 Apr 91",107.750,104.500,106.750, 822000
"02 Apr 91",112.500,107.250,112.250,1320000
"03 Apr 91",116.750,112.750,113.750,1260000
"04 Apr 91",116.750,112.750,113.750,1010000
"05 Apr 91",114.250,109.000,110.000,1510000
"08 Apr 91",113.250,109.500,111.375, 645000
"09 Apr 91",113.250,109.750,110.250, 839000
"10 Apr 91",110.250,105.500,107.500,1030000
"11 Apr 91",111.500,108.000,111.000, 666000
"12 Apr 91",110.000,103.750,107.250,2450000
"15 Apr 91",114.250,105.000,113.750,1230000
"16 Apr 91",114.500,110.000,112.250,1130000
"17 Apr 91",117.500,111.125,111.500,1730000
"18 Apr 91",112.000,108.000,110.000,1220000
"19 Apr 91",109.500,105.750,107.250,1330000
"22 Apr 91",106.250,101.750,102.125,1930000
"23 Apr 91",103.000,100.500,101.625,1440000
"24 Apr 91",104.750,100.500,103.000,1140000
"25 Apr 91",103.750,100.500,100.750, 913000
"26 Apr 91",102.250, 98.750,100.750,1230000
"29 Apr 91",101.500, 97.750, 97.750, 990000
"30 Apr 91", 99.250, 96.000, 99.000,1600000
"01 May 91",100.750, 97.000,100.750,1530000
"02 May 91",102.500,100.250,100.500, 929000
"03 May 91",101.250, 99.750,101.250, 320000
"06 May 91",103.250,100.250,102.750, 632000
"07 May 91",103.750,101.250,101.250, 707000
"08 May 91",103.250,100.250,103.000, 800000
"09 May 91",106.000,102.750,105.750,1060000
"10 May 91",107.000,102.000,102.750, 723000
"13 May 91",103.750,101.250,103.125, 955000
"14 May 91",103.250,100.750,101.250, 809000
"15 May 91",100.500, 96.625, 98.000,1530000
"16 May 91",100.000, 98.500, 99.375, 976000
"17 May 91", 99.500, 98.000, 99.250, 621000
"20 May 91",100.000, 97.750, 99.125, 916000
"21 May 91",103.250, 99.500,102.000,1160000
"22 May 91",106.750,102.250,106.750,1220000
"23 May 91",109.750,107.000,109.500, 926000
"24 May 91",112.500,109.500,110.000, 944000
"28 May 91",111.750,110.000,110.750, 610000
"29 May 91",112.000,109.750,110.250, 891000
"30 May 91",111.750,109.000,110.250, 859000
"31 May 91",111.000,108.000,109.750,1140000
"03 Jun 91",112.250,109.000,112.000, 651000
"04 Jun 91",113.500,110.500,113.000, 485000
"05 Jun 91",114.250,112.000,112.000, 571000
"06 Jun 91",113.000,110.500,111.125, 454000
"07 Jun 91",110.250,108.750,110.250, 716000
"10 Jun 91",111.000,109.750,110.500, 410000
"11 Jun 91",113.000,110.500,110.625, 581000
"12 Jun 91",112.250,110.250,111.125, 709000
"13 Jun 91",112.250,110.500,111.000, 528000
"14 Jun 91",113.750,111.000,113.500, 644000
"17 Jun 91",114.750,112.500,113.500, 409000
"18 Jun 91",113.500,109.750,111.500, 651000
"19 Jun 91",109.750,103.000,103.375,2180000
"20 Jun 91",102.000, 99.000,100.750,2600000
"21 Jun 91",103.000,101.250,102.250, 940000
"24 Jun 91",101.500, 97.500, 98.125,1100000
"25 Jun 91",100.250, 98.000, 98.750,1350000
"26 Jun 91",101.500, 98.250,100.750,1340000
"SPLIT",1.5,0.0,0.0,0
"27 Jun 91", 68.250, 66.750, 68.000,1170000
"28 Jun 91", 68.750, 65.500, 68.125,1280000
"01 Jul 91", 71.625, 67.750, 71.375,1510000
"02 Jul 91", 72.250, 68.000, 68.125, 915000
"03 Jul 91", 64.750, 61.750, 64.000,3980000
"05 Jul 91", 63.750, 61.500, 61.750,1640000
"08 Jul 91", 67.250, 60.500, 67.000,2270000
"09 Jul 91", 68.750, 66.500, 67.875,1600000
"10 Jul 91", 68.750, 65.000, 65.250,1400000
"11 Jul 91", 66.750, 65.000, 66.250,1060000
"12 Jul 91", 68.500, 66.000, 68.000, 689000
"15 Jul 91", 70.250, 68.500, 69.875, 761000
"16 Jul 91", 70.000, 67.500, 67.500, 890000
"17 Jul 91", 67.750, 65.000, 67.750, 844000
"18 Jul 91", 69.250, 66.750, 67.000, 535000
"19 Jul 91", 68.000, 66.000, 67.750, 509000
"22 Jul 91", 68.750, 66.500, 67.500, 733000
"23 Jul 91", 68.250, 66.500, 66.500, 740000
"24 Jul 91", 67.250, 65.000, 65.500,1130000
"25 Jul 91", 68.000, 65.875, 66.000,1880000
"26 Jul 91", 71.750, 66.750, 71.000,3100000
"29 Jul 91", 71.250, 68.750, 70.250,2840000
"30 Jul 91", 73.000, 69.750, 72.750,1610000
"31 Jul 91", 74.000, 72.750, 73.500,2330000
"01 Aug 91", 74.000, 73.000, 73.250,1120000
"02 Aug 91", 74.750, 73.250, 73.250,1700000
"05 Aug 91", 73.250, 71.750, 72.250, 589000
"06 Aug 91", 75.000, 72.250, 74.500,1110000
"07 Aug 91", 76.500, 74.500, 76.000,1440000
"08 Aug 91", 79.250, 76.000, 79.000,1910000
"09 Aug 91", 82.000, 78.250, 80.750,2390000
"12 Aug 91", 83.750, 79.750, 83.000,1180000
"13 Aug 91", 83.750, 82.250, 82.500,1970000
"14 Aug 91", 83.500, 82.000, 82.500,1400000
"15 Aug 91", 83.250, 81.000, 81.500, 947000
"16 Aug 91", 82.375, 80.250, 81.750,1080000
"19 Aug 91", 81.250, 77.000, 80.250,1780000
"20 Aug 91", 81.875, 80.000, 80.500,1190000
"21 Aug 91", 84.500, 81.750, 84.000,1530000
"22 Aug 91", 85.250, 83.250, 84.000, 907000
"23 Aug 91", 86.500, 84.000, 85.250, 898000
"26 Aug 91", 85.250, 83.500, 85.250, 920000
"27 Aug 91", 85.000, 84.000, 84.750, 713000
"28 Aug 91", 86.750, 84.500, 85.625, 861000
"29 Aug 91", 86.500, 85.000, 85.750, 583000
"30 Aug 91", 86.250, 84.500, 85.250, 459000
"03 Sep 91", 85.000, 82.500, 83.125, 698000
"04 Sep 91", 83.500, 81.000, 82.625, 801000
"05 Sep 91", 83.000, 80.000, 80.500,1220000
"06 Sep 91", 82.250, 80.250, 80.750,1060000
"09 Sep 91", 81.500, 80.250, 80.750, 665000
"10 Sep 91", 82.500, 80.000, 80.000,1370000
"11 Sep 91", 82.250, 80.500, 82.000,1330000
"12 Sep 91", 85.750, 83.000, 85.625,1120000
"13 Sep 91", 85.750, 82.500, 83.000,1070000
"16 Sep 91", 83.500, 82.250, 83.000, 452000
"17 Sep 91", 84.750, 82.000, 84.500, 487000
"18 Sep 91", 85.500, 83.750, 84.750, 561000
"19 Sep 91", 87.250, 84.750, 86.250,1070000
"20 Sep 91", 87.000, 86.000, 86.500, 632000
"23 Sep 91", 86.500, 84.500, 84.875,1030000
"24 Sep 91", 88.250, 85.250, 88.000, 981000
"25 Sep 91", 88.375, 86.500, 87.750, 537000
"26 Sep 91", 90.000, 87.250, 89.250,1000000
"27 Sep 91", 89.500, 87.750, 88.250, 693000
"30 Sep 91", 89.500, 87.000, 89.000, 577000
"01 Oct 91", 89.250, 88.000, 88.875, 409000
"02 Oct 91", 90.500, 86.250, 87.000,1400000
"03 Oct 91", 88.250, 86.250, 87.500, 722000
"04 Oct 91", 89.000, 87.500, 88.125, 551000
"07 Oct 91", 88.875, 86.750, 88.500, 566000
"08 Oct 91", 89.500, 88.000, 89.250, 786000
"09 Oct 91", 91.250, 89.250, 89.500,1270000
"10 Oct 91", 90.500, 88.500, 89.750, 876000
"11 Oct 91", 91.000, 87.750, 89.625,1460000
"14 Oct 91", 92.250, 90.000, 92.250,1050000
